,x_pix,y_pix,ux,uy,Exx,Eyy,Exy,R,Reig,lambda1,width_mm,area_mm2,stress_mpa,frame
2935468,316.0,848.0,19.04218969212889,-0.059656091192688,4.097605474187397,-0.315398698806801,-0.15409640373468228,0.0,1.9974514358086082,9.205959552993745,3.0634,4.901440000000001,0.3323525631243062,45.0
2930578,322.0,850.0,12.05721136938769,0.016283961153953808,3.215922613671651,-0.2886182994437521,-0.09382504014636284,0.0,1.5324832050691006,7.436865478295796,3.0634,4.901440000000001,0.23128381026800285,29.0
2908546,322.0,859.0,5.561030963536755,-0.026012243667184354,1.5384822528241187,-0.21284821016918204,-0.069630261206668,0.7323630695422544,2.2732108077399187,4.082492569603297,3.0634,4.901440000000001,0.1515912970473983,13.0
2918290,274.0,855.0,6.612906759482611,0.013124170260561119,2.0650241130484095,-0.2647405645529598,0.028578494192419642,2.038317870101902,0.7026884394512954,5.130749247517908,3.0422,4.86752,0.17067597133653278,17.0
2920736,272.0,854.0,6.585699419593708,0.01774536237138591,2.065024113048411,-0.2636197759396274,0.02252632187561151,1.9342624310051535,0.5541861409284358,5.130484005653917,3.0422,4.86752,0.17067597133653278,17.0
2913394,274.0,857.0,0.25543381161985695,-0.04389659298172231,0.04915222048486756,-0.014666985236480468,-0.0005825727674307566,0.4661392206308561,0.5229656590793966,1.0983150760990514,3.0422,4.86752,0.0528244132535665,1.0
2901199,319.0,862.0,9.56610854551849,-0.009573445859033303,2.7310164745587584,-0.2789923141538859,-0.11730836720202796,0.8608026114624163,2.228469251662977,6.471162766065398,3.0634,4.901440000000001,0.1953593721436965,23.0
2886513,321.0,868.0,13.701012664113922,-0.08057500624858882,3.4699353228374683,-0.2878574335913659,-0.13237723389498718,0.6986574842231198,2.015051062144547,7.949185709375992,3.0634,4.901440000000001,0.2570218037964353,33.0
2913394,274.0,857.0,1.8591348641071925,-0.07708549087679972,0.3512262994907387,-0.10045645904758183,0.015256349751371127,1.8489017681599091,1.9323261441155244,1.7034820439364262,3.0422,4.86752,0.1377217854266649,5.0
2925680,320.0,852.0,12.851340830618785,0.0001301011936005736,3.356792907013446,-0.2927889760043636,-0.1034170708660154,0.0,1.6218378550861579,7.71944211035747,3.0634,4.901440000000001,0.24574616704478677,31.0
2893861,325.0,865.0,11.277495862839576,-0.03795252629360446,3.06695394184729,-0.2773293749296333,-0.12305372247154914,0.7676555870723794,2.1044188204021714,7.142951240137681,3.074,4.9184,0.22022571059694207,27.0
2913441,321.0,857.0,4.69496440898528,-0.040968295104904406,1.2392976294742153,-0.19269362910089977,-0.05735658221400036,0.5293744055490788,2.2900191703480792,3.4831826006345845,3.0634,4.901440000000001,0.14902416167493632,11.0
2896309,325.0,864.0,14.211154257945413,-0.07485133673508848,3.5264894389708745,-0.2987342768804637,-0.14125291875919965,0.7903344644159643,2.111910398812736,8.063396702242917,3.074,4.9184,0.2619222039687703,34.0
2896301,317.0,864.0,3.781622352783179,-0.0731474151008682,0.9238578492470311,-0.17674500782301944,-0.020977921506709327,0.0,1.0915514567599776,2.848515102976858,3.0634,4.901440000000001,0.15023489933570539,9.0
2920734,270.0,854.0,8.452565230284238,0.029510440258368575,2.6051255779539795,-0.2823939473142983,0.021962656246991993,1.8383777597526283,0.4357617140048985,6.21058523528851,3.0422,4.86752,0.19157623122247058,22.0
2891410,322.0,866.0,10.413749544269873,-0.030589130477182813,2.9033470827696517,-0.27706939636900574,-0.10879390933469635,0.6882563749992546,1.9568926621932627,6.814128598788181,3.0634,4.901440000000001,0.20625903836423579,25.0
2906095,319.0,860.0,11.583239506213848,-0.015828059153439433,3.14259764366953,-0.30071992374803586,-0.14658961820828834,1.0509067551600957,2.4333387234046535,7.297654034261332,3.0634,4.901440000000001,0.22566593531696805,28.0
2915843,275.0,856.0,14.614197588741934,-0.04837246056792388,3.587371785757547,-0.3294044202072794,0.035573581067496175,1.8876128372274361,0.5203238121940218,8.175389702533106,3.0422,4.86752,0.2870336052034712,37.0
2918291,275.0,855.0,3.087083662768579,-0.054483474488931094,0.7641440610535515,-0.17430454051000177,0.016608525560095056,2.1178598936938493,1.013589140780376,2.528875808586621,3.0422,4.86752,0.14799256335875355,8.0
2908493,269.0,859.0,15.379240098364509,-0.06861950287095109,3.660510181727206,-0.34343185401642673,0.06767440597035937,2.1577351806864757,0.9680414683560491,8.323307368403364,3.0422,4.86752,0.30029589339129575,39.0
2898755,323.0,863.0,5.5692945773848965,-0.036639089756556054,1.5384822528241187,-0.21688628305518476,-0.06277855813069998,0.594411376350295,2.045627970089609,4.081449169953236,3.074,4.9184,0.15106856843689004,13.0
2906100,324.0,860.0,1.5642742075088707,-0.08944499734710498,0.24146520966802,-0.08115133618183867,-0.002900445604606718,0.41766889492742787,0.5150553745961,1.4829825673424573,3.074,4.9184,0.1266908456001952,4.0
